j_reset_real 0 00100000 B               reset; Branch
sub_10163C 91 00101ce8 B               loc_101E88; Branch
sub_10163C 92 00101cec LDR             R4, =dword_80037A8; Load from Memory
sub_10163C 93 00101d3c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10163C 94 00101d44 LDR             R0, [R4,#4]; Load from Memory
sub_10163C 95 00101d50 LDR             R0, [R8,#0x1C]; Load from Memory
sub_10163C 96 00101d60 B               loc_101CDC; Branch
sub_10163C 97 00101d64 LDRB            R0, [R8,#0]; jumptable 00101738 case 13
sub_10163C 98 00101d70 CMP             R7, #0; jumptable 00101738 default case
sub_10163C 99 00101d7c B               loc_101CD8; Branch
sub_10163C 100 00101d80 LDR             R0, =dword_80037A8; Load from Memory
sub_10163C 101 00101d98 LDR             R0, [R0,#8]; Load from Memory
sub_10163C 102 00101dac LDR             R0, [R8,#0x20]; Load from Memory
sub_10163C 103 00101dd8 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_10163C 104 00101de0 LDR             R1, [R8,#0x1C]; Load from Memory
sub_10163C 105 00101df0 B               loc_101850; Branch
sub_10163C 106 00101df4 LDR             R4, =dword_80037A8; Load from Memory
sub_10163C 107 00101e40 MOV             R2, #0; Rd = Op2
sub_10163C 108 00101e70 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10163C 109 00101e78 LDR             R0, [R4,#4]; Load from Memory
sub_10163C 110 00101e84 STRB            R10, [R8,#0]; Store to Memory
sub_10163C 111 00101e88 LDR             R0, [R8,#0x10]; Load from Memory
sub_10163C 112 00101e94 STRB            R9, [R8,#0]; Store to Memory
sub_10163C 113 00102470 LDR             R5, =byte_80034B0; Load from Memory
sub_101EB0 0 00101eb0 STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_101EB0 1 00101ed4 CMP             R6, #0; Set cond. codes on Op1 - Op2
sub_101EB0 2 00101edc LDR             R5, =byte_80034B0; Load from Memory
sub_101EB0 3 00101ef8 LDR             R0, [R5,#0x30]; Load from Memory
sub_101EB0 4 00101f08 LDR             R0, =byte_80034B0; Load from Memory
sub_101EB0 5 00101f68 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_101EB0 6 00101f74 BL              sub_1011F4; Branch with Link
sub_101EB0 7 00101f78 LDR             R0, =byte_80034B0; Load from Memory
sub_101EB0 8 00101f88 ADD             R1, SP, #4; Rd = Op1 + Op2
sub_101EB0 9 00101fc0 LDR             R0, [SP,#0]; Load from Memory
sub_101EB0 10 00101fcc CMP             R5, R9; Set cond. codes on Op1 - Op2
sub_101EB0 11 00101fd4 MOV             R0, #8; Rd = Op2
sub_101EB0 12 00101fe4 LDR             R0, [R5,#4]; Load from Memory
sub_101EB0 13 00101ff4 B               loc_101F74; Branch
sub_101EB0 14 00101ff8 LDR             R0, =byte_80034B0; Load from Memory
sub_101EB0 15 00102044 LDR             R0, [R5,#0x30]; Load from Memory
sub_101EB0 16 0010205c LDR             R1, =byte_80034B0; Load from Memory
sub_101EB0 17 00102070 MOV             R3, #1; Rd = Op2
sub_101EB0 18 001020cc CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_101EB0 19 001020d4 MOV             R7, #0xC; Rd = Op2
sub_101EB0 20 001020dc MOV             R7, #0x16; Rd = Op2
sub_101EB0 21 001020e4 CMP             R0, R4; Set cond. codes on Op1 - Op2
sub_101EB0 22 001020ec MOV             R7, #8; Rd = Op2
sub_101EB0 23 001020f4 MOV             R7, #0xD; Rd = Op2
sub_101EB0 24 001020f8 ADD             SP, SP, #0x14; Rd = Op1 + Op2
sub_101EB0 25 00102104 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_101EB0 26 0010211c B               loc_1020F8; Branch
sub_102130 0 00102130 STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_102130 1 00102170 MOV             R0, #6; Rd = Op2
sub_102130 2 001021a4 LDR             R0, [R11,#0x30]; Load from Memory
sub_102130 3 001021d8 MOV             R0, #7; Rd = Op2
sub_102130 4 00102208 ADD             R10, R5, #0x14; Rd = Op1 + Op2
sub_102130 5 00102240 CMP             R0, R6; Set cond. codes on Op1 - Op2
sub_102130 6 00102248 ADD             R1, R10, R6,LSL#5; Rd = Op1 + Op2
sub_102130 7 0010225c CMP             R8, #0; Set cond. codes on Op1 - Op2
sub_102130 8 00102268 B               loc_102278; Branch
sub_102130 9 0010226c CMP             R8, #0; Set cond. codes on Op1 - Op2
sub_102130 10 00102278 ADD             R0, R10, R8,LSL#5; Rd = Op1 + Op2
sub_102130 11 0010229c LDR             R0, [SP,#0]; Load from Memory
sub_102130 12 001022b4 LDR             R0, [R11,#0x30]; Load from Memory
sub_102130 13 001022d4 LDR             R0, [R11,#0xC]; Load from Memory
sub_102130 14 001022e4 CMP             R6, #0; Set cond. codes on Op1 - Op2
sub_102130 15 001022ec MOV             R2, R5; Rd = Op2
sub_102130 16 00102304 B               loc_102428; Branch
sub_102130 17 00102308 MOV             R8, R6; Rd = Op2
sub_102130 18 00102320 MOV             R4, #0x26; Rd = Op2
sub_102130 19 00102328 LDR             R0, [R11,#0x5C]; Load from Memory
sub_102130 20 00102348 B               loc_1023F8; Branch
sub_102130 21 0010234c CMP             R8, R5; Set cond. codes on Op1 - Op2
sub_102130 22 00102354 LDR             R0, [R11,#0x5C]; Load from Memory
sub_102130 23 00102370 LDR             R0, [R6,#4]; Load from Memory
sub_102130 24 0010239c LDR             R0, [SP,#0]; Load from Memory
sub_102130 25 001023b0 MOV             R4, #0x12; Rd = Op2
sub_102130 26 001023b8 LDR             R0, [R11,#0x30]; Load from Memory
sub_102130 27 001023d8 LDR             R0, [SP,#8]; Load from Memory
sub_102130 28 001023f4 ADD             R5, R5, #1; Rd = Op1 + Op2
sub_102130 29 001023f8 LDRH            R0, [R7,#0x2C]; Load from Memory
sub_102130 30 00102404 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_102130 31 0010240c LDR             R0, [R11,#0x5C]; Load from Memory
sub_102130 32 00102428 CMP             R4, #0x16; Set cond. codes on Op1 - Op2
sub_102130 33 00102430 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_102130 34 00102438 B               loc_102454; Branch
sub_102130 35 0010243c MOV             R0, #2; Rd = Op2
sub_102130 36 00102448 LDR             R1, [R11,#0xC]; Load from Memory
sub_102130 37 00102454 ADD             SP, SP, #0x14; Rd = Op1 + Op2
sub_102130 38 00102470 LDR             R5, =byte_80034B0; Load from Memory
sub_102130 39 00102498 CMP             R0, #0xA; Set cond. codes on Op1 - Op2
sub_102130 40 001024a4 MOV             R0, #1; Rd = Op2
sub_102130 41 001024b4 B               loc_1024B4; Branch
sub_1024BC 0 001024bc LDR             R2, =byte_80034B0; Load from Memory
sub_1024D4 0 001024d4 LDR             R2, =byte_80034B0; Load from Memory
sub_1024EC 0 001024ec STMFD           SP!, {R4-R12,LR}; Store Block to Memory
sub_1024EC 1 0010250c BNE             loc_1025EC; Branch
sub_1024EC 2 00102510 LDR             R0, [R4,#4]; Load from Memory
sub_1024EC 3 00102520 CMN             R2, #1; Set cond. codes on Op1 + Op2
sub_1024EC 4 0010252c CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_1024EC 5 00102538 CMP             R6, R2; Set cond. codes on Op1 - Op2
sub_1024EC 6 00102544 LDR             R1, [R4,#4]; Load from Memory
sub_1024EC 7 0010255c LDR             R2, [R5,#0]; Load from Memory
sub_1024EC 8 00102568 LDR             R1, [R4,#0]; Load from Memory
sub_1024EC 9 00102580 BL              sub_10F760; Branch with Link
sub_1024EC 10 00102584 LDR             R2, [R5,#0]; Load from Memory
sub_1024EC 11 001025e8 B               loc_10266C; Branch
sub_1024EC 12 001025ec MOV             R0, #0xFFFFFFFF
sub_1024EC 13 001025f4 LDR             R3, [R4,#0]; Load from Memory
sub_1024EC 14 0010263c MOVS            R2, R1; Rd = Op2
sub_1024EC 15 00102644 LDR             R1, [R4,#4]; Load from Memory
sub_1024EC 16 00102654 BNE             loc_1026BC; Branch
sub_1024EC 17 00102658 LDR             R1, [R4,#0]; Load from Memory
sub_1024EC 18 00102668 B               loc_1025F4; Branch
sub_1024EC 19 0010266c LDR             R2, [R4,#0]; Load from Memory
sub_1024EC 20 001026bc STR             R0, [R7,#0]; Store to Memory
sub_10270C 0 0010270c CMN             R1, #0xFC000001; Set cond. codes on Op1 + Op2
sub_10270C 1 00102718 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_10270C 2 00102720 ADD             R2, R0, R1,LSL#2; Rd = Op1 + Op2
sub_10270C 3 00102734 MOV             R2, #0; Rd = Op2
sub_10270C 4 00102780 BX              LR; Branch to/from Thumb mode
sub_10270C 5 00102784 MOV             R0, #0xFFFFFFFF
sub_10278C 0 0010278c TST             R0, #2; Set cond. codes on Op1 & Op2
sub_10278C 1 001027b4 TST             R0, R1; Set cond. codes on Op1 & Op2
sub_10278C 2 001027e4 LDMFD           SP!, {R4,R5}; Load Block from Memory
sub_1027F0 0 001027f0 STMFD           SP!, {R0-R11,LR}; Store Block to Memory
sub_1027F0 1 00102810 LDR             R1, [SP,#0x28]; Load from Memory
sub_1027F0 2 00102828 LDR             R0, [SP,#0x28]; Load from Memory
sub_1027F0 3 0010283c LDR             R0, [SP,#0x24]; Load from Memory
sub_1027F0 4 00102850 MOV             R1, R8,LSL#2; Rd = Op2
sub_1027F0 5 00102864 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1027F0 6 0010286c MOV             R1, #0; Rd = Op2
sub_1027F0 7 001028b0 ADD             SP, SP, #0x2C; Rd = Op1 + Op2
sub_1027F0 8 001028bc LDR             R0, [SP,#0x1C]; Load from Memory
sub_1027F0 9 001028d8 LDR             R0, [SP,#0x1C]; Load from Memory
sub_1027F0 10 001028e8 ADD             SP, SP, #0x2C; Rd = Op1 + Op2
sub_1027F0 11 001028f4 LDR             R0, [SP,#0xC]; Load from Memory
sub_1027F0 12 0010293c AND             R0, R4, #1; Rd = Op1 & Op2
sub_1027F0 13 0010294c LDR             R3, [R2,R1,LSL#2]; Load from Memory
sub_1027F0 14 0010295c ADD             R1, R1, #1; Rd = Op1 + Op2
sub_1027F0 15 00102968 CMP             R0, R4; Set cond. codes on Op1 - Op2
sub_1027F0 16 00102970 LDR             R1, [R2,R0,LSL#2]; Load from Memory
sub_1027F0 17 00102980 ADD             R1, R2, R0,LSL#2; Rd = Op1 + Op2
sub_1027F0 18 00102994 LDR             R0, [R7,#0xC]; Load from Memory
sub_1027F0 19 001029b4 MOV             R0, R10,ASR#31; Rd = Op2
sub_1027F0 20 001029f8 B               loc_102AB4; Branch
sub_1027F0 21 001029fc ADD             R0, R0, #2; Rd = Op1 + Op2
sub_1027F0 22 00102a08 B               loc_1029B4; Branch
sub_1027F0 23 00102a0c MOV             R0, R10,ASR#31; Rd = Op2
sub_1027F0 24 00102a38 LDR             R6, [R7,#0]; Load from Memory
sub_1027F0 25 00102a6c CMP             R11, #0; Set cond. codes on Op1 - Op2
sub_1027F0 26 00102a74 LDR             R6, [R7,#0]; Load from Memory
sub_1027F0 27 00102aa8 SUBS            R10, R10, #2; Rd = Op1 - Op2
sub_1027F0 28 00102ab4 STR             R9, [SP,#0]; Store to Memory
sub_1027F0 29 00102ad0 LDR             R0, [SP,#0x1C]; Load from Memory
sub_1027F0 30 00102ae0 ADD             SP, SP, #0x2C; Rd = Op1 + Op2
sub_102AF0 0 00102af0 STMFD           SP!, {R0-R11,LR}; Store Block to Memory
sub_102AF0 1 00102b20 LDR             R1, [SP,#4]; Load from Memory
sub_102AF0 2 00102b50 LDR             R0, [SP,#0x10]; Load from Memory
sub_102AF0 3 00102b64 MOV             R7, #0; Rd = Op2
sub_102AF0 4 00102b80 LDR             R0, [SP,#0]; Load from Memory
sub_102AF0 5 00102b8c LDR             R9, [R12,#4]; Load from Memory
sub_102AF0 6 00102bcc LDR             R0, [SP,#0x10]; Load from Memory
sub_102AF0 7 00102bd0 ADD             R3, R3, #1; Rd = Op1 + Op2
sub_102AF0 8 00102bec LDR             R0, [SP,#4]; Load from Memory
sub_102AF0 9 00102c08 LDR             R0, [SP,#4]; Load from Memory
sub_102AF0 10 00102c1c ADD             SP, SP, #0x14; Rd = Op1 + Op2
sub_102C28 0 00102c28 STMFD           SP!, {R0-R11,LR}; Store Block to Memory
sub_102C28 1 00102c60 LDR             R0, [SP,#0x70]; Load from Memory
sub_102C28 2 00102cb8 LDR             R0, [SP,#0x44]; Load from Memory
sub_102C28 3 00102cd8 MOV             R10, #0; Rd = Op2
sub_102C28 4 00102d44 LDR             R0, [SP,#0x70]; Load from Memory
sub_102C28 5 00102d48 ADDS            R3, R12, R4; Rd = Op1 + Op2
sub_102C28 6 00102d8c LDR             R0, [SP,#0]; Load from Memory
sub_102C28 7 00102d98 LDR             R0, [SP,#0x3C]; Load from Memory
sub_102C28 8 00102dbc ADD             SP, SP, #0x4C; Rd = Op1 + Op2
sub_102DC8 0 00102dc8 STMFD           SP!, {R0-R11,LR}; Store Block to Memory
sub_102DC8 1 00102e08 LDREQ           R0, [R9,#0]; Load from Memory
sub_102DC8 2 00102e14 MOV             R0, #0x40000000; Rd = Op2
sub_102DC8 3 00102e54 LDR             R1, [SP,#0x18]; Load from Memory
sub_102DC8 4 00102e80 LDR             R0, [SP,#0x24]; Load from Memory
sub_102DC8 5 00102e8c MOV             R5, #0; Rd = Op2
sub_102DC8 6 00102f24 LDR             R0, [SP,#4]; Load from Memory
sub_102DC8 7 00102f38 LDR             R1, [R11],#4; Load from Memory
sub_102DC8 8 00102f78 MOV             R1, R6; Rd = Op2
sub_102DC8 9 00102f7c LDR             R0, [SP,#0]; Load from Memory
sub_102DC8 10 00102fa0 BLE             loc_102FDC; Branch
sub_102DC8 11 00102fa4 MOV             R2, R6; Rd = Op2
sub_102DC8 12 00102fc0 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_102DC8 13 00102fc8 B               loc_103000; Branch
sub_102DC8 14 00102fcc MOV             R0, #0; Rd = Op2
sub_102DC8 15 00102fdc LDRD            R0, [SP,#0]; Load pair of registers
sub_102DC8 16 00102ff8 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_102DC8 17 00103000 CMP             R4, #0x10; Set cond. codes on Op1 - Op2
sub_102DC8 18 00103008 MOV             R1, #0xFFFFFFFF
sub_102DC8 19 00103010 LDRD            R0, [SP,#0]; Load pair of registers
sub_102DC8 20 00103024 MOV             R2, R6; Rd = Op2
sub_102DC8 21 00103034 MOV             R1, #0; Rd = Op2
sub_102DC8 22 00103038 LDR             R0, [SP,#0x20]; Load from Memory
sub_102DC8 23 00103060 LDR             R0, [SP,#8]; Load from Memory
pbl_load_elf_sahara_stuff 0 0010306c STMFD           SP!, {R4-R6,LR}; Store Block to Memory
pbl_load_elf_sahara_stuff 1 0010307c MOV             R3, #0; a4
pbl_load_elf_sahara_stuff 2 00103090 LDR             R0, [R4,#0x28]; Load from Memory
pbl_load_elf_sahara_stuff 3 0010309c MOV             R3, #0; a4
pbl_load_elf_sahara_stuff 4 001030b0 LDR             R0, [R4,#0x28]; Load from Memory
pbl_load_elf_sahara_stuff 5 001030cc CMP             R6, #0xA; Set cond. codes on Op1 - Op2
pbl_load_elf_sahara_stuff 6 001030d4 MOV             R3, #0; a4
pbl_load_elf_sahara_stuff 7 001030e8 MOV             R0, R5; Rd = Op2
pbl_load_elf_sahara_stuff 8 001030f0 ADD             R0, R4, #0x44; Rd = Op1 + Op2
pbl_load_elf_sahara_stuff 9 00103108 B               loc_10312C; Branch
pbl_load_elf_sahara_stuff 10 0010310c MOV             R0, R4; a1
pbl_load_elf_sahara_stuff 11 0010311c LDR             R0, [R4,#0x40]; Load from Memory
pbl_load_elf_sahara_stuff 12 0010312c STR             R0, [R4,#0x24]; Store to Memory
sub_103148 0 00103148 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_103148 1 00103150 CMP             R1, #0x60; Set cond. codes on Op1 - Op2
sub_103148 2 00103158 MOV             R0, #2; Rd = Op2
sub_103148 3 00103160 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_103148 4 00103178 MOV             R3, R5; a4
sub_103148 5 0010318c MOV             R1, R4; Rd = Op2
sub_103148 6 001031a0 ADD             R4, R4, #0x20; Rd = Op1 + Op2
sub_103148 7 001031b8 ADD             R1, R4, #0x20; Rd = Op1 + Op2
sub_103148 8 001031c8 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_103148 9 0010b784 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_1031E4 0 001031e4 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1031E4 1 001031ec CMP             R1, #0x18; Set cond. codes on Op1 - Op2
sub_1031E4 2 001031f4 MOV             R0, #2; Rd = Op2
sub_1031E4 3 001031fc STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_1031E4 4 00103218 MOV             R3, R4; a4
sub_1031E4 5 0010322c MOV             R4, #1; Rd = Op2
sub_1031E4 6 00103230 LDR             R0, =unk_8004080; Load from Memory
sub_1031E4 7 00103244 MOV             R3, #0x20; a4
sub_1031E4 8 00103258 LDR             R1, =unk_8004080; Load from Memory
sub_1031E4 9 0010326c MOV             R2, R5; Rd = Op2
sub_1031E4 10 00103284 ADD             R4, R4, #1; Rd = Op1 + Op2
sub_1031E4 11 00103294 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_1032B4 0 001032b4 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1032B4 1 001032bc CMP             R1, #4; Set cond. codes on Op1 - Op2
sub_1032B4 2 001032c4 MOV             R0, #2; Rd = Op2
sub_1032B4 3 001032cc STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_1032B4 4 001032e4 B               loc_1032E8; Branch
sub_1032B4 5 001032e8 LDR             R2, =0x10500; a3
sub_1032B4 6 001032fc MOV             R0, R4; Rd = Op2
sub_1032B4 7 0010b8b4 CMP             R0, #0; Set cond. codes on Op1 - Op2
inner_inner_auth 0 00103320 STMFD           SP!, {R4-R9,LR}; Store Block to Memory
inner_inner_auth 1 0010333c MOV             R3, #0; a4
inner_inner_auth 2 00103350 CMP             R7, #0; Set cond. codes on Op1 - Op2
inner_inner_auth 3 00103358 MOV             R3, #0; a4
inner_inner_auth 4 0010336c CMP             R8, #0; Set cond. codes on Op1 - Op2
inner_inner_auth 5 00103374 MOV             R3, #0; a4
inner_inner_auth 6 00103388 MOV             R1, #0xC; Rd = Op2
inner_inner_auth 7 001033a0 MOV             R3, #0xC; a4
inner_inner_auth 8 001033b4 LDR             R0, =dword_8004118; Load from Memory
inner_inner_auth 9 001033c8 MOV             R3, #0x10; a4
inner_inner_auth 10 001033dc LDR             R0, =dword_800351C; Load from Memory
inner_inner_auth 11 001033f0 MOV             R3, #8; a4
inner_inner_auth 12 00103404 BL              get_pbl_struct_ptr; Branch with Link
inner_inner_auth 13 00103420 ADD             R0, R4, R4,LSL#1; Rd = Op1 + Op2
inner_inner_auth 14 00103448 LDR             R0, =dword_800351C; Load from Memory
inner_inner_auth 15 0010347c LDR             R3, [R9,#0]; a4
inner_inner_auth 16 00103490 BL              get_timer; Branch with Link
inner_inner_auth 17 001034a8 CMP             R0, #3; Set cond. codes on Op1 - Op2
inner_inner_auth 18 001034b4 BL              sub_105404; Branch with Link
inner_inner_auth 19 001034b8 ADD             SP, SP, #0xC; Rd = Op1 + Op2
pbl_auth 0 001034e8 STMFD           SP!, {R4,LR}; Store Block to Memory
pbl_auth 1 001034fc MOV             R3, #0; a4
pbl_auth 2 00103510 LDR             R0, [R4,#0x2C]; Load from Memory
pbl_auth 3 0010352c MOV             R3, R0; a4
pbl_auth 4 00103540 ADD             R0, R4, #0x60; Rd = Op1 + Op2
pbl_auth 5 00103550 MOV             R3, R0; a4
pbl_auth 6 00103564 LDR             R1, =unk_80040C8; Load from Memory
